N,Dates,Year,Host institution
51,6/6-6/8,2019,University of Notre Dame
50,6/21-6/23,2018,University of Chicago
49,6/1-6/3,2017,Michigan State University
48,6/9-6/11,2016,University of Pittsburgh
47,6/26-6/28,2015,University of Michigan
46,6/15-6/17,2014,Northwestern University
45,5/29-5/31,2013,University of Illinois at Urbana
44,6/7-6/9,2012,"University of Wisconsin, Madison"
43,6/9-6/11,2011,University of Notre Dame
42,5/20-5/22,2010,Purdue University
41,5/28-5/30,2009,Southern Illinois University
40,6/26-6/28,2008,University of Michigan
39,6/28-6/30,2007,Indiana University
38,6/15-6/17,2006,Ohio State University
37,6/16-6/18,2005,University of Missouri-Columbia
36,6/17-6/19,2004,Michigan State University
35,6/12-6/14,2003,Iowa State University
34,10/5-10/6,2001,University of Minnesota
33,5/25-5/27,2000,University of Iowa
32,5/20-5/22,1999,University of Notre Dame
31,5/21-5/23,1998,Purdue University
30,5/22-5/24,1997,University of Illinois at Urbana
29,5/30-6/01,1996,Indiana U.-Purdue U. Indianapolis
28,5/11-5/13,1995,Northwestern University
27,5/19-5/21,1994,"University of Missouri, Columbia"
26,5/20-5/22,1993,Southern Illinois University
25,6/04-6/06,1992,Michigan State University
24,5/16-5/18,1991,Northern Illinois University
23,5/17-5/19,1990,"University of Wisconsin, Madison"
22,5/11-5/13,1989,Indiana U.-Purdue U. Indianapolis
21,5/12-5/14,1988,Argonne National Laboratory
20,5/14-5/16,1987,University of Pittsburgh
19,5/15-5/17,1986,Indiana University at Bloomington
18,5/16-5/18,1985,Marquette University
17,5/18-5/20,1984,Southern Illinois University
16,5/19-5/21,1983,Northwestern University
15,4/30-5/01,1982,Michigan State University
14,5/07-5/08,1981,University of Chicago
13,5/09-5/10,1980,University of Minnesota
12,5/03-5/05,1979,Purdue University
11,5/19-5/20,1978,Battelle's Columbus Laboratories
10,5/27-5/28,1977,Argonne National Laboratory
9,5/20-5/22,1976,Northern Illinois University
8,5/02-5/03,1975,"University of Wisconsin, Madison"
7,?,1974,"University of Kentucky, Lexington"
6,11/17-11/18,1972,Michigan State University
5,9/24-9/25,1971,Indiana University at Bloomington
4,11/06-11/07,1970,Iowa State University
3,6/19-6/20,1969,University of Minnesota
2,6/13-6/14,1968,"University of Wisconsin, Madison"
1,25-Mar,1967,University of Chicago
